Number,Reference (Logos old iPad),verse_text (FBV),Themes,Quick Reflection,Extended Reflection,Alignment ,Prayer
1113,Revelation 9:7," The locusts looked like war-horses. They wore what seemed to be golden crowns on their heads, and their faces looked human.","Judgment, Terror, Spiritual Warfare","The locusts looked like war horses prepared for battle, symbolizing judgment and fear.",This apocalyptic imagery portrays God’s judgment on those who reject Him. The locusts’ terrifying description reflects the severity of spiritual torment unleashed. It reminds me that rebellion against God leads to devastating consequences.,"This challenges me to remain faithful, resisting deception, and to cling to God’s protection.","Dear Heavenly Father, keep me steadfast in faith. Protect me from the enemy’s schemes and remind me of Your ultimate victory. In Jesus’ name, Amen."
1114,Revelation 11:6," These two witnesses have the power to close the sky so that it will not rain during the time of their prophecy. They also have the power to turn the waters into blood, and to strike the earth with all kinds of plagues, as often as they want.","Authority, Witness, Power",The two witnesses had authority to shut the sky and strike the earth with plagues.,"God empowered His witnesses to display authority similar to Elijah and Moses, showing that His Word is powerful and unstoppable. It reminds me that God equips His people with authority to accomplish His purposes, even in opposition.",This calls me to trust God’s power working through me and to boldly bear witness to His truth.,"Dear Heavenly Father, thank You for giving authority to Your people. Strengthen me to be a bold and faithful witness of Your truth. In Jesus’ name, Amen."
1115,Revelation 12:10," Then I heard a loud voice in heaven saying, “Now salvation has come, and power, and the kingdom of our God, and the authority of his Christ. The Accuser of the believers has been thrown down—the one who accuses them in God's presence day and night.","Victory, Salvation, Overcoming","A loud voice declared that salvation, power, and Christ’s authority had come—the accuser was defeated.","This triumphant moment proclaims the victory of Christ over Satan. The enemy, who accuses God’s people, has been cast down by the blood of the Lamb and the testimony of believers. It reminds me that I overcome not by strength but by Christ’s victory.","This calls me to live in the confidence of Christ’s triumph, silencing the accusations of the enemy with His blood and my testimony.","Dear Heavenly Father, thank You for Christ’s victory over the accuser. Help me to walk in confidence, knowing the blood of the Lamb secures my place. In Jesus’ name, Amen."
1116,Revelation 13:16," He made everyone, whether weak or powerful, rich or poor, free or slave, receive a mark on their right hand or on their foreheads.","Control, Deception, Allegiance",The beast forced all people to receive a mark on their right hand or forehead.,"This verse highlights the enemy’s attempt to counterfeit God’s seal, demanding loyalty through the mark of the beast. It represents allegiance to worldly power instead of God. It reminds me that following Christ requires resisting compromise, even under pressure.","This calls me to stand firm in my allegiance to Christ, refusing to bow to the systems of this world.","Dear Heavenly Father, strengthen me to remain faithful when pressured to compromise. Seal me with Your Spirit and keep me devoted to Christ. In Jesus’ name, Amen."
1117,Revelation 15:2,,"Victory, Worship, Perseverance, Triumph of the Faithful","Those who overcome the beast stand victorious before God, worshipping in His presence.","This vision shows the faithful who resisted the mark of the beast, now standing in triumph before God’s throne. The sea of glass mingled with fire reflects both purity and judgment, while the harps symbolize worship. It reminds me that endurance through trials leads to eternal victory. No matter how fierce the battle feels now, Christ secures the triumph for those who remain faithful.","This calls me to persevere in faith, resisting compromise, and to live in confidence that ultimate victory is already assured in Christ.","Dear Heavenly Father, thank You for the promise of victory through Christ. Strengthen me to endure faithfully in trials and to worship You with a pure heart. May my life bring glory to You until I stand before Your throne. In Jesus’ name, Amen."
1118,Revelation 16:18," Lightning flashed and thunder boomed, and a massive earthquake shook the earth. It was the worst earthquake that had ever happened since people lived there.","Judgment, Power, God’s Sovereignty","A great earthquake shook the earth, unlike any ever seen before.","This event symbolizes the intensity of God’s final judgment, shaking not only the physical world but also human pride and rebellion. It reminds me of God’s unmatched power and the certainty that He will bring justice.","This calls me to live with reverence, knowing God is sovereign over all creation and history.","Dear Heavenly Father, keep me humble before Your power. Help me live in reverence and readiness for Christ’s return. In Jesus’ name, Amen."
1119,Revelation 18:5," Her sins have piled up all the way to heaven, and God is very much aware of her wickedness.","Sin, Judgment, Warning","Babylon’s sins piled up to heaven, and God remembered her crimes.","Babylon represents the corrupt systems of the world, full of arrogance and idolatry. Her sins reached a tipping point, bringing inevitable judgment. This reminds me that unrepented sin accumulates, but God’s justice is perfect and timely.","This challenges me to separate from worldly corruption and live in holiness, awaiting God’s kingdom.","Dear Heavenly Father, guard me from the spirit of Babylon. Keep me holy, set apart for Your kingdom, and faithful until the end. In Jesus’ name, Amen."
1120,Revelation 19:1," After this I heard what sounded like the noise of an enormous crowd in heaven, shouting, “Hallelujah! Salvation, glory, and power describe our God,","Praise, Victory, Salvation","A great multitude in heaven cried out, “Hallelujah! Salvation, glory, and power belong to our God.”",This verse captures the heavenly celebration of God’s justice and victory. The cry of “Hallelujah” emphasizes joy in His salvation and triumph over evil. It reminds me that worship is the right response to God’s power and righteousness.,"This calls me to live a life of praise, giving glory to God in all circumstances.","Dear Heavenly Father, fill my heart with hallelujahs for Your salvation and victory. May my life echo heaven’s worship. In Jesus’ name, Amen."
1121,Revelation 19:21, The rest were killed with the sword of the one sitting on the horse—the sword that came out of his mouth. All the birds gorged themselves on their flesh.,"Judgment, Sovereignty, Victory over Evil",The rest were slain by the sword from the mouth of the rider on the horse.,"This verse shows the complete triumph of Christ over His enemies. The sword from His mouth symbolizes the power of His Word, by which He defeats rebellion. It reminds me that no power can stand against the authority of Christ.",This calls me to trust fully in the authority of Christ’s Word and to stand boldly under His reign.,"Dear Heavenly Father, thank You for Christ’s victory over all evil. Help me to stand firm in Your Word and live in obedience to Your authority. In Jesus’ name, Amen."
1122,Revelation 21:9," One of the seven angels who had the seven bowls containing the seven last plagues came and spoke to me. He told me, “Come with me. I will show you the bride, the Lamb's wife.”","Promise, Bride, Eternal Dwelling","One of the angels showed John the bride, the wife of the Lamb—the holy city, Jerusalem.","Here the bride imagery shifts to the New Jerusalem, symbolizing the eternal dwelling of God with His people. It reflects beauty, purity, and the fulfillment of God’s promises. It reminds me that eternity is about union with Christ and dwelling in His presence forever.",This calls me to live with anticipation of the eternal dwelling God has prepared for His people.,"Dear Heavenly Father, thank You for the promise of eternal life with You. Prepare me as part of the bride of Christ to live in holiness and expectation. In Jesus’ name, Amen."
1123,Revelation 22:15," Those outside the city are dogs, those who practice witchcraft, those who are sexually immoral, those who murder, those who worship idols, and all those who love and invent lies.","Separation, Holiness, Warning","Outside the city are the unclean, sorcerers, idolaters, and all who love and practice falsehood.","This verse distinguishes between those who enter the New Jerusalem and those excluded. It is both a warning and a call to holiness. Eternal life is for those cleansed by Christ, not for those who persist in sin. It reminds me of the seriousness of living in truth and purity.","This calls me to reject sin and walk in holiness, living as one who belongs to Christ’s kingdom.","Dear Heavenly Father, keep me close to Christ, cleansed by His blood and walking in truth. Guard me from falsehood and lead me into holiness. In Jesus’ name, Amen."
1124,Revelation 22:21,“May the grace of the Lord Jesus be with the believers. Amen.” ,"Grace, Completion, Blessing, Eternal Hope",The final words of Scripture leave us with grace—the gift of Christ that sustains us forever.,"It’s fitting that the Bible closes with a benediction of grace. From Genesis to Revelation, God’s plan is one of redemption, and His final word to His people is blessing. This verse reminds me that no matter the trials, visions, or judgments revealed before, the story ends with God’s grace resting upon His people eternally.","This calls me to live each day in the assurance of God’s grace, carrying the blessing of Christ into every part of my life until I meet Him face-to-face.","Dear Heavenly Father, thank You that Your Word ends with grace. Let me walk daily in that grace, sharing it with others, until the day I stand in Your presence. In Jesus’ name, Amen."
1125,Page 1125 Table of weights and measures,,"Order, Stewardship, Accuracy, Faithfulness",God’s Word includes details like weights and measures to show His concern for order and fairness.,"Though not a direct verse, the presence of tables of weights and measures in Scripture reflects God’s interest in justice, stewardship, and precision. Every detail—even the smallest standard—is under His care. This reminds me that God values integrity not just in spiritual matters but in practical, daily life.","This calls me to live with faithfulness and integrity in the “little things”—measuring rightly, dealing honestly, and stewarding resources carefully.","Dear Heavenly Father, thank You that You care about every detail of life. Help me to walk in honesty and integrity, reflecting Your order and justice in both small and great matters. In Jesus’ name, Amen."
1126,Page 1126 Seah/Saton,,"Provision, Daily Bread, Stewardship, God’s Care",A seah (or saton) was a measure of grain—reminding us of God’s provision for daily needs.,"The Bible includes dry measures like the seah to show how daily life—eating, trading, preparing food—was woven into God’s order. In Genesis 18:6, Abraham told Sarah to prepare “three seahs” of flour to serve guests, showing hospitality. In Matthew 13:33, Jesus used “three satons of flour” in a parable about the kingdom of heaven, likening it to yeast that permeates the whole batch. These examples remind me that God cares about both the physical provision of food and the spiritual picture of His kingdom working invisibly but powerfully.","This calls me to trust God for daily provision, to practice generosity in sharing what I have, and to see even ordinary resources as pictures of His kingdom work.","Dear Heavenly Father, thank You for providing daily bread and meeting both my physical and spiritual needs. Teach me to steward what You give and to see Your kingdom at work in the ordinary. In Jesus’ name, Amen."
1127,Page 1127 Concordance,,"Order, Guidance, Connection, Understanding",A concordance organizes Scripture to help us find connections and meaning across the Word.,"Though not a verse, the concordance itself is a tool of guidance. It allows us to trace words, themes, and verses throughout the Bible, revealing patterns we might otherwise miss. It reminds me that God is a God of order, and He provides means to understand His Word deeply. The concordance symbolizes both discipline and discovery—helping believers connect pieces of Scripture into a greater whole.","This calls me to study with diligence, to seek understanding, and to let Scripture interpret Scripture. The concordance becomes a reminder that God invites me to search out His treasures with care.","Dear Heavenly Father, thank You for tools that help me study Your Word more deeply. Give me a heart that seeks wisdom and the guidance of Your Spirit as I search the Scriptures. In Jesus’ name, Amen."
1128,"Page 1128 Concordance ACT(N) Ex 6:6, DT 3:24, Jn8:4",,"Deliverance, God’s Power, Human Accusation vs. Divine Authority","From God’s mighty acts in Egypt, to His greatness revealed to Moses, to human judgment in John’s Gospel—these verses highlight that God’s acts display His power and authority above all.","Exodus 6:6 – God promised to deliver Israel with “outstretched arm and mighty acts of judgment.” His acts reveal His saving power.
Deuteronomy 3:24 – Moses declares that no god in heaven or earth can perform acts as mighty as the Lord’s.
John 8:4 – The Pharisees bring a woman accused of adultery, using the law as an act against her, but Christ responds with divine wisdom and mercy.
Taken together, these passages contrast human “acts” of judgment with God’s true acts of deliverance and mercy. Where humans condemn, God redeems. Where people boast, God displays unmatched power. For me, this reminds me to trust in God’s acts rather than human systems.","This calls me to remember God’s mighty works in my own life—deliverance, mercy, and transformation—and to trust His authority above human judgment.","Dear Heavenly Father, thank You for Your mighty acts of salvation and mercy. Teach me to trust in Your power above human judgment, and let my life reflect Your redeeming work. In Jesus’ name, Amen."
1129,"Page 129 AIJALON, Jos 10:12, Jos 21:24",,"Victory, God’s Intervention, Inheritance",Aijalon represents both God’s miraculous intervention in battle and the land inheritance given to His people.,"Joshua 10:12 – At Aijalon, Joshua prayed and God caused the sun and moon to stand still, granting Israel victory. This act reveals God’s direct intervention on behalf of His people when they cry out in faith.
Joshua 21:24 – Aijalon later became part of the inheritance of the Levites, showing God’s provision and order in establishing His people’s dwelling and service.
Together, these verses paint Aijalon as a place of both miraculous victory and covenant fulfillment. It reminds me that God not only fights for His people but also establishes them securely in His promises.",This calls me to trust God’s intervention in battles that feel overwhelming and to rest in His faithfulness to provide an inheritance for His people.,"Dear Heavenly Father, thank You for fighting on behalf of Your people and for establishing us in Your promises. Help me to trust in Your intervention and to walk faithfully in the inheritance I have in Christ. In Jesus’ name, Amen."
1130,Page 1130 2 Corinthians 11:14,,"Deception, Discernment, Spiritual Warfare","Satan disguises himself as an angel of light, reminding us of the need for discernment.","Paul warns the Corinthians that appearances can deceive—even Satan masquerades as light. This highlights the importance of testing spirits and clinging to God’s truth. It reminds me that not everything that seems good or spiritual is of God, and discernment through the Word and the Spirit is essential.","This calls me to stay rooted in Scripture and prayer, discerning truth from deception, and not being swayed by appearances.","Dear Heavenly Father, give me discernment to recognize deception and strength to cling to Your truth. Guard my heart from lies and keep me walking in Your light. In Jesus’ name, Amen."
1131,"Page 1131 AQUILA, Ac 18:2, 18, 26; Rm 16:3; 1Co 16:19; 2Tm 4:19.",,"Partnership, Faithful Service, Hospitality, Perseverance","Aquila, with his wife Priscilla, faithfully served alongside Paul, opening his home and life for the gospel.","Acts 18:2, 18 – Aquila, a tentmaker with Priscilla, met Paul in Corinth. Their partnership began in shared work and grew into shared mission.
Acts 18:26 – Together, they explained the way of God more accurately to Apollos, showing both hospitality and spiritual maturity.
Romans 16:3 – Paul called them “fellow workers in Christ Jesus” and praised their sacrificial service.
1 Corinthians 16:19 – The church met in their house, showing their generosity in hospitality and leadership.
2 Timothy 4:19 – Even late in Paul’s life, Aquila and Priscilla are remembered as faithful companions.
Aquila’s story highlights how ordinary work, like tentmaking, can become a platform for extraordinary kingdom service. His partnership with Priscilla shows the power of shared ministry in marriage and community.","This calls me to open my home, my work, and my life for God’s purposes, serving faithfully in both ordinary and extraordinary ways.","Dear Heavenly Father, thank You for the example of Aquila and Priscilla. Teach me to serve faithfully, to share what I have for Your kingdom, and to encourage others in truth. In Jesus’ name, Amen."
1132,"Page 1132 ASLEEP, Jn 11:11, 1Co 15:51, 1 Th 4:13.",,"Death, Hope, Resurrection, Comfort","In Scripture, sleep often symbolizes death—but with the promise of awakening through Christ’s resurrection.","John 11:11 – Jesus spoke of Lazarus as “asleep,” pointing to His power to awaken him, showing that death is not the end in God’s hands.
1 Corinthians 15:51 – Paul reveals a mystery: not all will “sleep,” but all will be changed when Christ returns, highlighting transformation and victory over death.
1 Thessalonians 4:13 – Believers are not to grieve like those without hope, for those who are “asleep” in Christ will rise again.
Together, these verses remind me that death is not final—it is only a temporary sleep until the resurrection. This perspective changes grief into hope and fear into assurance.",This calls me to live in confidence of Christ’s victory over death and to comfort others with the hope of resurrection life.,"Dear Heavenly Father, thank You that in Christ death is only sleep. Fill me with hope and courage, and help me to comfort others with the promise of resurrection. In Jesus’ name, Amen."
1133,Page 1133 BACK(ADV) Gn 19:26; 2Kg 20:9; Lk 9:62,,"Warning, Obedience, Commitment, Faithfulness","Looking back often symbolizes hesitation, doubt, or disobedience, while God calls us to move forward in faith.","Genesis 19:26 – Lot’s wife looked back at Sodom and became a pillar of salt, a warning against clinging to the past when God calls us forward.
2 Kings 20:9 – As a sign to Hezekiah, the shadow went backward on the steps, showing God’s power over time and His faithfulness to His word.
Luke 9:62 – Jesus warned that no one who puts a hand to the plow and looks back is fit for the kingdom, calling for total commitment.
Together, these passages show both the danger of longing for what God has left behind and the call to live with resolute faith. God alone has the power to turn back time, but for me, the call is to keep moving forward in obedience and trust.",This calls me to avoid looking back in doubt or regret and to stay committed to the path God has set before me.,"Dear Heavenly Father, keep me from looking back when You call me forward. Strengthen my commitment to follow You wholeheartedly and walk faithfully into Your promises. In Jesus’ name, Amen."
1134,"Page 1134 BEARD, 2 Sm 10:4, Ps 133:2",,"Honor, Humiliation, Anointing, Unity","The beard in Scripture can symbolize both dignity and blessing—either dishonored when cut in shame, or honored when anointed.","2 Samuel 10:4 – Hanun humiliated David’s servants by shaving off half their beards, an act of shame and disgrace in that culture. It shows how outward dishonor can be used to wound dignity.
Psalm 133:2 – The unity of God’s people is compared to precious oil poured on Aaron’s head, running down his beard, symbolizing anointing, blessing, and consecration.
Together, these passages show two sides of the beard’s symbolism: it can be a mark of honor that, when defiled, shames a man; but when anointed, it becomes a sign of blessing and sacred calling. For me, it reminds me that God transforms what the world tries to dishonor into something sacred when set apart for Him","This calls me to pursue unity, consecration, and blessing, while not being shaken if others try to bring dishonor. My worth comes from God’s anointing, not man’s opinion.","Dear Heavenly Father, thank You for consecrating Your people for unity and blessing. Help me to walk in honor before You, not fearing shame but seeking Your anointing. In Jesus’ name, Amen."
1135,"Page 1135 BENEFIT, Ps 103:2, Mt, 16:26, Jn 4:38, Jn 16:7, Rm 3:1, Gl 5:2",,"Blessing, Profit, Spiritual Gain, Eternal Perspective","True benefit is not measured by worldly gain but by God’s blessings, Christ’s work, and eternal life.","Psalm 103:2 – David calls us to “forget not all His benefits,” reminding us of God’s forgiveness, healing, and lovingkindness.
Matthew 16:26 – Jesus asks, “What shall it profit a man if he gains the whole world but loses his soul?” Worldly benefit is nothing compared to eternal life.
John 4:38 – The disciples enter into the benefit of others’ labor, showing how God weaves our efforts together in His kingdom work.
John 16:7 – Jesus says it is to our benefit that He goes away, so the Helper (the Holy Spirit) may come, highlighting spiritual advantage through His presence.
Romans 3:1 – Paul asks, “What advantage has the Jew?” Their benefit was being entrusted with God’s Word.
Galatians 5:2 – Paul warns that returning to the law (circumcision) brings no benefit, for only faith in Christ avails.
Together, these verses show the full picture of “benefit”: God’s blessings in our lives, eternal gain over worldly profit, the Spirit’s presence, and the privilege of God’s Word. It reminds me that true benefit comes only through Christ and His kingdom.","This calls me to set my heart on eternal benefit rather than temporary gain, to cherish God’s Word, and to rely on the Spirit who is my greatest helper.","Dear Heavenly Father, thank You for all Your benefits—forgiveness, salvation, Your Word, and Your Spirit. Keep my heart focused on eternal profit, not temporary gain. In Jesus’ name, Amen."
1136,Page 1136 Pr 27:14,,"Wisdom, Discernment, Sincerity, Relationships","Even blessings, if given at the wrong time or in the wrong way, can be received as a curse.","Proverbs 27:14 says that one who blesses his neighbor loudly early in the morning may be counted as cursing him. This verse highlights the importance of discernment, tone, and timing in how we treat others. A good word in the wrong way or wrong moment can cause harm instead of help. It reminds me that wisdom is not only about what I say but how and when I say it.","This calls me to be thoughtful with my words and actions, showing true love and sensitivity rather than seeking attention or approval.","Dear Heavenly Father, give me wisdom in my speech and actions. Teach me to bless others with sincerity, discernment, and love so that my words build up and not tear down. In Jesus’ name, Amen."
1137,"Page 1137 BOOK, Ex 32:32, Dt 31:26",,"Record, Covenant, Accountability, Life","God’s books symbolize His record of covenant, life, and accountability before Him.","Exodus 32:32 – After Israel’s sin with the golden calf, Moses interceded, asking God to forgive the people or blot him out of the “book” He had written. This shows the seriousness of sin and the depth of sacrificial intercession.
Deuteronomy 31:26 – Moses instructed that the Book of the Law be placed beside the Ark of the Covenant as a witness against the people. The written word was a constant reminder of God’s covenant expectations.
Together, these passages present the “book” as both a record of God’s covenant and a witness to His people’s accountability. It reminds me that God sees and records all, and that His covenant word stands as both promise and warning.","This calls me to live in awareness of God’s covenant, seeking forgiveness where I fall short, and to let His Word guide and hold me accountable.","Dear Heavenly Father, thank You for writing my name in the Lamb’s Book of Life through Christ. Help me to live faithfully according to Your covenant Word. In Jesus’ name, Amen."
1138,Page 1138 Rm 9:3,,"Sacrifice, Love, Burden for Others, Intercession",Paul expressed such love for his people that he wished himself accursed if it meant their salvation.,"Romans 9:3 reveals Paul’s deep burden for Israel. His willingness to be “cut off” for their sake echoes Moses’ prayer in Exodus 32:32, showing the heart of true intercession—selfless, sacrificial love that reflects Christ’s own willingness to bear the curse for us. It reminds me that genuine love for others includes carrying their spiritual burdens before God in prayer.","This calls me to love others deeply, even at personal cost, and to intercede with the heart of Christ for their salvation.","Dear Heavenly Father, give me a heart of compassion like Paul’s, willing to carry the burdens of others in prayer. Help me to reflect Christ’s sacrificial love as I intercede for those who are far from You. In Jesus’ name, Amen."
1139,"Page 1139 CANA, Jn 2:1",,"Beginning of Miracles, Transformation, Joy, Divine Presence","At Cana, Jesus began His public ministry by turning water into wine, revealing His glory.","John 2:1 sets the stage for the wedding at Cana, where Jesus performed His first miracle. This act wasn’t just about providing for a wedding feast—it symbolized the abundance, joy, and transformation that His presence brings. By turning water into wine, Jesus revealed His glory, and His disciples believed in Him. For me, Cana represents the truth that when Christ is present, ordinary becomes extraordinary, and lack turns into abundance.","This calls me to invite Christ into every part of my life, trusting Him to transform what seems ordinary into a testimony of His glory.","Dear Heavenly Father, thank You for the joy and transformation Jesus brings. Help me to welcome His presence into every moment of my life and to live as a witness of His glory. In Jesus’ name, Amen."
1140,Page 1140 1Tm 5:21,,"Integrity, Impartiality, Responsibility",Paul charged Timothy to carry out his ministry without prejudice or favoritism.,"In 1 Timothy 5:21, Paul gives Timothy a solemn command before God, Christ Jesus, and the elect angels: to observe his instructions with impartiality. This underscores the weight of leadership and the need for integrity. Favoritism undermines justice, but fairness honors God. For me, this verse reminds me that all service in the kingdom must reflect God’s holiness and truth.","This calls me to act with fairness, integrity, and responsibility in every decision, seeking to please God rather than people.","Dear Heavenly Father, help me to walk in integrity and impartiality. Guard me from favoritism and give me wisdom to act justly in all things. In Jesus’ name, Amen."
1141,Page 1141 Is 40:9,,"Good News, Boldness, Hope",God’s people are called to lift up their voices and proclaim the good news without fear.,"Isaiah 40:9 calls Zion and Jerusalem to be heralds of good news, lifting their voices to proclaim that God is here. This verse highlights bold proclamation—declaring hope and comfort to a weary people. For me, it reminds me that sharing the gospel is not timid work but a joyful, fearless declaration of God’s presence and salvation.","This calls me to share the good news boldly, lifting up Christ in both word and life.","Dear Heavenly Father, fill me with courage to proclaim Your good news with joy and hope. Let my life declare that You are here. In Jesus’ name, Amen."
1142,Page 1142 Jn 15:10,,"Obedience, Love, Abiding","Remaining in Christ’s love means keeping His commandments, just as He kept His Father’s.","John 15:10 shows the connection between love and obedience. To abide in Christ is not passive—it’s active, demonstrated by following His commands. Jesus modeled this by perfectly keeping His Father’s will. For me, this verse reminds me that obedience is not a burden but a pathway to remain in the fullness of Christ’s love.","This calls me to demonstrate love for Christ through joyful obedience, staying connected to Him daily.","Dear Heavenly Father, help me to abide in Christ’s love through obedience. Give me joy in following Your will as Jesus did. In Jesus’ name, Amen."
1143,"Page 1143 CONQUEROR, Rm 8:37, Rv 2:7",,"Victory, Endurance, Reward, Overcoming in Christ","Believers conquer not by their own strength but through Christ, who gives victory and eternal reward.","Romans 8:37 – Paul declares that in all things we are “more than conquerors” through Him who loved us. Our victory isn’t partial—it’s overwhelming, secured by Christ’s love that nothing can separate us from.
Revelation 2:7 – To the one who conquers, Jesus promises access to the tree of life in paradise. Conquering is tied to faithful endurance and receiving eternal reward.
Together, these passages show that conquering is not about worldly triumph but about perseverance in faith and love through Christ. It reminds me that true victory is spiritual, eternal, and rooted in God’s promises.","This calls me to walk daily as a conqueror in Christ, confident in His love and committed to enduring until the reward of eternal life.","Dear Heavenly Father, thank You that in Christ I am more than a conqueror. Strengthen me to overcome trials and remain faithful, looking forward to the reward You have promised. In Jesus’ name, Amen."
1144,"Page 1144 2Co 5:19, 2 Tm 4:16",,"Reconciliation, Forgiveness, God’s Presence","God reconciles the world to Himself in Christ, and even when others abandon us, He remains faithful.","2 Corinthians 5:19 – Paul explains that God was in Christ reconciling the world to Himself, not counting people’s sins against them, and entrusting believers with the message of reconciliation. This shows God’s heart of forgiveness and His call for us to be peacemakers.
2 Timothy 4:16 – Paul shares how at his first defense no one supported him, yet he prayed that it would not be counted against them. His example mirrors Christ’s mercy and shows that even in loneliness, God’s presence and grace are enough.
Together, these verses highlight both God’s initiative in reconciliation and our calling to extend forgiveness even when wronged. It reminds me that reconciliation flows vertically from God and must flow horizontally to others.","This calls me to live as an ambassador of reconciliation, forgiving freely and trusting God’s presence when others fall short.","Dear Heavenly Father, thank You for reconciling me to Yourself through Christ. Help me to extend that same forgiveness to others and to trust in Your faithful presence. In Jesus’ name, Amen."
1145,"Page 1145 Gl 2:19, Gl 5:24",,"Crucified with Christ, New Life, Freedom from Sin","To belong to Christ means dying to self and the flesh, and living a new life through Him.","Galatians 2:19 – Paul says, “For I through the law am dead to the law, that I might live unto God.” This verse reflects the death of the old life and the beginning of life lived in God’s presence through grace.
Galatians 5:24 – Paul explains that those who belong to Christ have crucified the flesh with its passions and desires. True discipleship involves putting to death the old nature and walking in the Spirit.
Together, these verses highlight the transformation of the believer: death to the old life and freedom to live in Christ. They remind me that following Jesus means daily surrender—crucifying selfish desires and embracing new life.","This calls me to die daily to the flesh and to live fully unto God, walking in the Spirit and bearing the fruit of new life.","Dear Heavenly Father, thank You for the new life I have in Christ. Help me to crucify the desires of the flesh and live in the freedom and power of the Spirit. In Jesus’ name, Amen."
1146,"Page 1146 DEAF Ex 4:11, Is 29:18, Mt 11:5",,"God’s Sovereignty, Healing, Spiritual Awakening","The Lord, who made the deaf, also promises healing and opens ears to hear His truth.","Exodus 4:11 – God reminds Moses that He is the Creator of the mouth, the deaf, the blind, and the seeing. All ability and limitation are under His sovereign control.
Isaiah 29:18 – A prophecy declares that in the day of the Lord, the deaf will hear the words of the scroll, symbolizing both physical healing and spiritual awakening.
Matthew 11:5 – Jesus points to His works as proof of His messiahship: “the deaf hear, the dead are raised, and the poor have good news preached to them.”
Together, these verses reveal that God is sovereign over human conditions and that through Christ, both physical and spiritual deafness are overcome. It reminds me that God can open ears to hear His truth in His perfect timing.","This calls me to trust God’s sovereignty over every limitation, to believe in Christ’s healing power, and to listen attentively for His voice in my own life.","Dear Heavenly Father, thank You that You open deaf ears and awaken hearts. Help me to listen closely to Your Word and to trust in Your power over every limitation. In Jesus’ name, Amen."
1147,"Page 1147 Mt 6:24, 1Tm 4:12, Heb 12:2",,"Devotion, Example, Focus on Christ, Perseverance","True discipleship means undivided devotion, living as an example, and fixing our eyes on Jesus.","Matthew 6:24 – Jesus teaches that no one can serve two masters; we will either love one and hate the other. This verse calls for undivided devotion to God above worldly pursuits.
1 Timothy 4:12 – Paul exhorts Timothy to set an example in speech, conduct, love, faith, and purity, regardless of his youth. Faithful living is a testimony that builds others up.
Hebrews 12:2 – Believers are called to fix their eyes on Jesus, the author and finisher of faith, who endured the cross for the joy set before Him. He is both the model and the strength for endurance.
Together, these verses paint a picture of faithful living: wholehearted devotion to God, setting an example for others, and enduring by keeping our focus on Christ. For me, this combination reminds me that discipleship is daily, visible, and fueled by Christ’s sacrifice.","This calls me to examine my loyalties, live as an example in love and purity, and keep my focus on Jesus so I may endure faithfully.","Dear Heavenly Father, help me to serve You with an undivided heart. Strengthen me to live as an example of Christ and to fix my eyes on Him, enduring with joy. In Jesus’ name, Amen."
1148,"Page 1148 1co 1:10, 1Co 11:18, 1Co 12:25",,"Unity, Harmony, Church Body, Avoiding Division","The church is called to unity, avoiding division, and caring for one another as one body in Christ.","1 Corinthians 1:10 – Paul appeals for believers to agree in what they say, that there be no divisions, but unity in mind and purpose.
1 Corinthians 11:18 – Paul points out that divisions exist among them when they gather, which weakens the witness of the church.
1 Corinthians 12:25 – God designed the body so there should be no division, but that its members care equally for one another.
Together, these verses highlight the danger of division and the beauty of unity in Christ. The church is called to reflect God’s oneness by living in harmony, supporting each other, and working toward the same purpose. For me, it’s a reminder that unity is both a calling and a witness to the world of Christ’s love.","This calls me to pursue unity within the body of Christ—choosing peace, rejecting division, and caring for others with humility and love.","Dear Heavenly Father, thank You for making us one body in Christ. Help me to walk in unity, to reject division, and to care for others with the love You have shown me. In Jesus’ name, Amen."
1149,"Page 1149 EFFECTIVE, Heb 4:12",,"Power of the Word, Discernment, Living Truth","God’s Word is alive and effective, piercing to the heart and discerning thoughts and intentions.","Hebrews 4:12 declares that the Word of God is living and active, sharper than any two-edged sword. It penetrates deeply, dividing soul and spirit, joints and marrow, and discerns the thoughts and intentions of the heart. This verse reveals the unmatched power of Scripture to expose, convict, and transform lives. For me, it reminds me that the Bible is not just words on a page—it is God’s living voice that works effectively within me.","This calls me to approach God’s Word with reverence, allowing it to shape my heart, correct my path, and transform my life.","Dear Heavenly Father, thank You for the living power of Your Word. Let it pierce my heart, guide my thoughts, and transform me into the likeness of Christ. In Jesus’ name, Amen."
